Unnamed: 0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11
R1,-1818.0,-557.0,-174.0,-565.0,103.0,-567.0,-646.0,-355.0,-595.0,-574.0,-269.0,-111.0,735.0,-160.0,-507.0,-388.0,-277.0,-575.0,-554.0,-187.0,-56.0,-589.0,-116.0,57.0,-185.0,-721.0,-450.0,-232.0,-572.0,13.0,-93.0,-273.0,69.0,-498.0,-554.0,-598.0,-671.0,-127.0,-550.0,-264.0,-573.0,-503.0,-564.0,-271.0
R2,-557.0,-3729.0,-949.0,-863.0,-64.0,-1067.0,-915.0,-987.0,-1157.0,-744.0,-659.0,-437.0,179.0,-602.0,-1329.0,-743.0,-768.0,-956.0,-1005.0,-770.0,-413.0,-613.0,-609.0,-151.0,-594.0,-953.0,-836.0,-380.0,-836.0,-456.0,-475.0,-532.0,-438.0,-774.0,-758.0,-882.0,-772.0,-609.0,-998.0,-703.0,-741.0,-586.0,-592.0,-738.0
R3,-174.0,-949.0,-1516.0,-454.0,18.0,-462.0,-328.0,-446.0,-505.0,-429.0,-118.0,-210.0,489.0,-82.0,-355.0,-179.0,-375.0,-318.0,-519.0,-268.0,-398.0,-111.0,82.0,144.0,-191.0,-860.0,-556.0,-45.0,-161.0,112.0,-88.0,-92.0,126.0,-474.0,-448.0,-590.0,-566.0,-169.0,-361.0,-212.0,-431.0,-425.0,-601.0,-149.0
R4,-565.0,-863.0,-454.0,-3468.0,-62.0,-616.0,-725.0,-720.0,-947.0,-706.0,-804.0,-482.0,-24.0,-442.0,-971.0,-899.0,-724.0,-1039.0,-792.0,-618.0,-289.0,-958.0,-573.0,-153.0,-501.0,-984.0,-1021.0,-380.0,-594.0,-49.0,-281.0,-363.0,-155.0,-886.0,-640.0,-1017.0,-789.0,-577.0,-1122.0,-821.0,-736.0,-750.0,-772.0,-880.0
R5,103.0,-64.0,18.0,-62.0,-68.0,-73.0,0.0,-341.0,-334.0,-161.0,-84.0,133.0,501.0,253.0,-195.0,-93.0,-59.0,-152.0,-251.0,57.0,271.0,-112.0,354.0,509.0,44.0,-263.0,143.0,86.0,-85.0,185.0,195.0,286.0,674.0,-251.0,-447.0,-330.0,-330.0,298.0,-472.0,54.0,-113.0,-36.0,-225.0,-175.0
R6,-567.0,-1067.0,-462.0,-616.0,-73.0,-3085.0,-821.0,-440.0,-1163.0,-790.0,-384.0,-90.0,86.0,-375.0,-1052.0,-346.0,-879.0,-793.0,-718.0,-534.0,-161.0,-889.0,-569.0,-212.0,-508.0,-1239.0,-591.0,-305.0,-637.0,-346.0,-446.0,-462.0,16.0,-620.0,-661.0,-612.0,-745.0,-366.0,-1108.0,-712.0,-412.0,-818.0,-661.0,-532.0
R7,-646.0,-915.0,-328.0,-725.0,0.0,-821.0,-2887.0,-613.0,-881.0,-624.0,-539.0,-201.0,110.0,-598.0,-985.0,-463.0,-537.0,-654.0,-760.0,-425.0,-387.0,-816.0,-297.0,-69.0,-562.0,-789.0,-684.0,-334.0,-843.0,-244.0,-168.0,-433.0,-277.0,-804.0,-604.0,-641.0,-765.0,-391.0,-669.0,-439.0,-558.0,-487.0,-655.0,-575.0
R8,-355.0,-987.0,-446.0,-720.0,-341.0,-440.0,-613.0,-3193.0,-924.0,-603.0,102.0,-230.0,7.0,-425.0,-814.0,-935.0,-963.0,-821.0,-804.0,-521.0,-356.0,-603.0,-503.0,-344.0,-491.0,-1115.0,-891.0,-572.0,-762.0,-402.0,-448.0,-584.0,-220.0,-597.0,-738.0,-684.0,-776.0,-288.0,-812.0,-675.0,-715.0,-632.0,-807.0,-696.0
R9,-595.0,-1157.0,-505.0,-947.0,-334.0,-1163.0,-881.0,-924.0,-3666.0,-860.0,-504.0,-361.0,-70.0,-600.0,-902.0,-711.0,-857.0,-794.0,-988.0,-348.0,-344.0,-909.0,-489.0,-328.0,-526.0,-1274.0,-850.0,-495.0,-798.0,-353.0,-293.0,-316.0,-393.0,-695.0,-875.0,-862.0,-997.0,-586.0,-1006.0,-569.0,-580.0,-988.0,-771.0,-530.0
R10,-574.0,-744.0,-429.0,-706.0,-161.0,-790.0,-624.0,-603.0,-860.0,-3115.0,-618.0,-476.0,53.0,-787.0,-859.0,-468.0,-556.0,-572.0,-760.0,-336.0,-687.0,-695.0,-353.0,-230.0,-309.0,-834.0,-890.0,-496.0,-349.0,-304.0,-396.0,-479.0,-97.0,-973.0,-645.0,-759.0,-1002.0,-337.0,-780.0,-558.0,-576.0,-692.0,-972.0,-637.0
