Unnamed: 0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11
R1,0.0,-717.0,-441.0,-686.0,-116.0,-995.0,-730.0,-882.0,-789.0,-846.0,-331.0,-589.0,90.0,-238.0,-748.0,-604.0,-8.0,-659.0,-1008.0,-264.0,-422.0,-594.0,-466.0,-136.0,-527.0,-1012.0,-1031.0,-550.0,-951.0,-168.0,-816.0,-654.0,-200.0,-567.0,-648.0,-800.0,-478.0,-515.0,-851.0,-276.0,-530.0,-628.0,-965.0,-530.0
R2,226.0,0.0,404.0,-257.0,512.0,-425.0,-246.0,-91.0,-309.0,-115.0,211.0,-151.0,570.0,407.0,-158.0,61.0,102.0,-392.0,-539.0,393.0,228.0,12.0,70.0,315.0,-71.0,-303.0,-437.0,-119.0,-250.0,-8.0,309.0,-224.0,334.0,-117.0,65.0,-372.0,-271.0,39.0,-170.0,221.0,-177.0,-180.0,-219.0,222.0
R3,-688.0,-973.0,0.0,-719.0,-325.0,-992.0,-795.0,-1023.0,-901.0,-836.0,-430.0,-604.0,-44.0,-270.0,-942.0,-844.0,-461.0,-901.0,-992.0,-255.0,-477.0,-787.0,-718.0,-319.0,-539.0,-1053.0,-837.0,-604.0,-1214.0,-468.0,-715.0,-859.0,-55.0,-887.0,-763.0,-881.0,-961.0,-463.0,-907.0,-437.0,-935.0,-857.0,-834.0,-477.0
R4,-202.0,-711.0,337.0,0.0,279.0,-340.0,-465.0,-644.0,-512.0,-257.0,-157.0,-116.0,461.0,-39.0,-308.0,-323.0,-67.0,-638.0,-422.0,94.0,18.0,-681.0,-105.0,203.0,-100.0,-683.0,-293.0,-280.0,-604.0,-147.0,-127.0,-339.0,31.0,-399.0,-564.0,-487.0,-413.0,-43.0,-542.0,-193.0,-335.0,-377.0,-314.0,-302.0
R5,-784.0,-1162.0,-149.0,-1233.0,0.0,-1128.0,-1046.0,-987.0,-980.0,-1019.0,-878.0,-634.0,-174.0,-514.0,-1366.0,-850.0,-824.0,-1094.0,-1185.0,-557.0,-489.0,-843.0,-719.0,-542.0,-712.0,-1211.0,-1108.0,-989.0,-1319.0,-648.0,-797.0,-1007.0,-393.0,-876.0,-784.0,-1174.0,-1080.0,-770.0,-1011.0,-768.0,-595.0,-1107.0,-1200.0,-734.0
R6,90.0,-755.0,349.0,-275.0,339.0,0.0,-448.0,-484.0,-491.0,-216.0,-227.0,-213.0,405.0,56.0,-512.0,-295.0,-205.0,-556.0,-590.0,196.0,323.0,-384.0,-427.0,-112.0,16.0,-756.0,-392.0,-229.0,-731.0,-93.0,37.0,-303.0,483.0,-626.0,-236.0,-355.0,-358.0,-282.0,-490.0,-154.0,-236.0,-236.0,-618.0,-287.0
R7,42.0,-435.0,229.0,-446.0,303.0,-557.0,0.0,-533.0,-361.0,-295.0,249.0,70.0,515.0,82.0,-256.0,-206.0,-302.0,-731.0,-662.0,177.0,396.0,-139.0,128.0,132.0,59.0,-630.0,-193.0,-236.0,-385.0,15.0,-46.0,131.0,419.0,-277.0,-468.0,-609.0,-467.0,-293.0,-521.0,92.0,-312.0,-11.0,-526.0,-99.0
R8,-57.0,-683.0,236.0,63.0,306.0,48.0,6.0,0.0,-187.0,134.0,134.0,-98.0,505.0,245.0,-167.0,-230.0,45.0,-310.0,-400.0,135.0,322.0,-195.0,17.0,491.0,240.0,-360.0,-218.0,46.0,-386.0,260.0,410.0,-207.0,549.0,-71.0,-172.0,-449.0,-52.0,-51.0,-278.0,5.0,-388.0,-281.0,-14.0,40.0
R9,244.0,-427.0,715.0,-157.0,390.0,-333.0,-290.0,-213.0,0.0,123.0,-72.0,245.0,528.0,106.0,-52.0,-236.0,93.0,-202.0,-432.0,152.0,293.0,-126.0,35.0,165.0,142.0,-526.0,-380.0,-349.0,-210.0,-65.0,70.0,-18.0,639.0,-382.0,-267.0,-285.0,-59.0,-139.0,-506.0,-45.0,-290.0,-462.0,-271.0,-197.0
R10,16.0,-571.0,339.0,-285.0,391.0,-452.0,-300.0,-447.0,-527.0,0.0,177.0,61.0,335.0,182.0,-75.0,-286.0,-102.0,-438.0,-549.0,12.0,223.0,-4.0,80.0,149.0,171.0,-479.0,-465.0,-417.0,-613.0,-327.0,-85.0,-63.0,374.0,-367.0,-253.0,-594.0,-148.0,-104.0,-598.0,-224.0,-335.0,-241.0,-214.0,-66.0
