Unnamed: 0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
R1,3106,3045,3097,3375,3305,2953,3188,3253,3080,2888
R2,632,708,556,748,884,622,572,596,580,500
R3,578,500,550,551,566,561,562,530,495,544
R4,4130,2855,2780,2710,2990,2670,2710,2720,2700,2600
R5,5226,5599,5876,5915,5702,5298,5761,5546,5648,5471
R6,2181,2250,2694,2859,3237,2502,2742,2571,2730,2460
R7,2328,1587,1644,1242,1767,1578,1593,1479,1668,1443
R8,-1368,-1444,-1432,-1564,-1544,-1372,-1360,-1284,-1448,-1236
R9,2644,2140,1972,1868,2108,2000,2028,1816,1960,1900
R10,0,0,0,0,0,0,0,0,0,0
R11,5346,4692,4572,4890,5634,5124,5514,5538,6822,4572
Y1,1647,1452,1518,1317,1374,1458,1308,1413,1527,1476
Y2,6285,6933,6879,7101,6543,6879,6006,6534,6894,7053
Y3,4642,4510,4517,4428,4419,4635,4478,4306,4783,4613
Y4,6652,3830,3688,3549,3584,3624,3963,3883,3748,3995
Y5,0,0,0,0,0,0,0,0,0,0
Y6,3329,3395,3314,3521,3285,3648,3244,3579,3308,3654
Y7,1946,2220,2214,2362,2144,2204,2200,2200,2206,2164
Y8,2580,2655,2505,2595,2585,2755,2465,2410,2580,2515
Y9,4774,4316,4544,4499,4261,4405,4190,4270,4031,4642
Y10,4204,4651,4181,4518,4063,4415,4005,4086,4442,4424
Y11,4497,4578,4638,5244,4490,4597,4855,4688,4579,4860
G1,4931,4798,4836,4721,4890,5324,4898,5068,4749,4668
G2,4759,4765,5201,5290,5722,5392,5507,5485,5374,5536
G3,5510,3873,4174,3949,3938,4299,4182,4122,3680,4006
G4,1904,2152,1752,1796,1968,1992,2016,2432,1900,2028
G5,898,892,910,1010,740,912,796,1130,690,746
G6,539,547,544,540,454,473,514,583,512,486
G7,4475,2750,3035,2815,2895,2655,3040,3095,2715,2815
G8,4946,4708,4686,4846,5064,4936,5146,5212,4938,4858
G9,4240,3825,3961,4255,4188,4094,4360,3789,4120,3840
G10,3044,2815,2978,2660,2801,2756,2658,2993,2795,2703
G11,10755,6075,6705,6723,6318,6048,6309,6462,6273,6201
B1,1682,1919,1912,1866,1714,1797,1798,1685,1820,1961
B2,3858,3804,3906,3654,3894,4086,3882,4038,3978,3816
B3,1691,1947,1857,1878,1565,1657,1847,1647,1659,1982
B4,1767,1590,1491,1311,1410,1608,1566,1434,1560,1848
B5,3774,4208,3945,4179,3596,3943,4055,3664,3735,4118
B6,2307,1809,1793,1712,1620,1820,1859,1735,1838,1863
B7,5915,3442,3767,3781,3591,3529,3637,3308,3598,3849
B8,2502,2464,2655,2580,2499,2815,2830,2485,2662,2585
B9,3662,3538,3758,3674,3468,3608,3546,3406,3246,3584
B10,2008,2092,1940,1820,1844,2052,2164,1884,1980,2136
B11,3247,3235,3229,3462,3501,3360,3253,3322,3243,3373
