Unnamed: 0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
R1,587,595,591,650,640,572,597,615,588,571
R2,303,348,280,372,439,317,289,302,295,254
R3,579,497,552,557,563,569,565,542,511,543
R4,568,539,552,546,584,536,527,554,542,521
R5,579,616,648,650,634,584,647,608,641,607
R6,523,524,590,566,631,550,563,548,545,527
R7,532,520,542,419,587,531,530,495,561,486
R8,351,374,374,397,401,359,360,339,391,337
R9,528,561,535,527,556,552,550,514,554,514
R10,454,465,444,401,477,410,417,431,406,403
R11,473,462,484,499,560,474,496,480,504,463
Y1,491,502,506,449,464,489,450,479,527,506
Y2,598,647,627,650,598,628,556,584,640,659
Y3,621,584,596,591,604,605,608,600,652,620
Y4,623,595,551,529,533,548,594,592,590,609
Y5,419,476,443,431,421,410,448,424,428,490
Y6,609,606,564,608,578,627,571,622,575,620
Y7,510,536,534,558,533,546,556,534,549,542
Y8,527,521,495,516,513,530,510,485,523,494
Y9,616,601,650,626,605,606,588,624,572,640
Y10,613,659,602,636,576,643,580,589,626,617
Y11,541,538,549,576,555,548,529,552,555,567
G1,605,583,575,582,591,615,578,609,573,565
G2,630,612,614,624,646,627,653,632,655,648
G3,560,562,609,542,546,608,602,607,552,582
G4,538,578,502,528,562,551,553,664,523,547
G5,540,523,518,565,480,558,535,634,512,500
G6,506,558,547,542,466,476,519,587,530,490
G7,611,557,604,581,579,552,604,611,557,562
G8,615,611,586,591,622,613,659,647,628,605
G9,639,576,595,653,615,618,646,587,628,576
G10,577,609,639,576,584,594,566,640,606,592
G11,633,571,629,632,613,589,598,605,607,582
B1,526,546,543,542,493,514,528,514,525,558
B2,587,584,585,555,601,610,585,601,610,577
B3,535,560,563,570,487,513,548,501,532,612
B4,551,532,512,445,484,543,528,495,541,616
B5,587,656,609,640,557,625,629,582,595,629
B6,525,514,487,510,477,518,522,499,524,526
B7,568,513,566,573,533,528,545,498,535,573
B8,569,547,583,558,563,622,617,558,599,575
B9,630,583,630,633,590,635,594,591,556,621
B10,528,560,509,480,521,541,569,502,540,561
B11,594,598,586,624,638,613,589,621,596,608
