Unnamed: 0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11
R1,9489.0,1194.0,1828.0,1247.0,3252.0,1723.0,1527.0,1421.0,687.0,1696.0,1942.0,2673.0,3595.0,1897.0,1666.0,1241.0,1957.0,1216.0,941.0,2137.0,2142.0,1243.0,2406.0,2836.0,2288.0,1438.0,1655.0,2160.0,1565.0,2479.0,1628.0,1690.0,2020.0,1467.0,1554.0,1355.0,1050.0,2360.0,1133.0,1411.0,1579.0,2133.0,1067.0,1413.0
R2,1194.0,4479.0,1035.0,479.0,1676.0,457.0,314.0,136.0,154.0,744.0,998.0,1502.0,2110.0,1048.0,764.0,647.0,1464.0,260.0,506.0,1614.0,1689.0,474.0,1042.0,1366.0,868.0,285.0,205.0,878.0,967.0,1131.0,798.0,791.0,1285.0,804.0,649.0,376.0,452.0,785.0,434.0,747.0,543.0,1036.0,343.0,782.0
R3,1828.0,1035.0,9234.0,1469.0,2812.0,1506.0,1495.0,1192.0,1562.0,1189.0,2199.0,2267.0,3584.0,1711.0,1593.0,1454.0,2189.0,1435.0,1349.0,2215.0,2148.0,1374.0,1626.0,2181.0,1578.0,1094.0,1640.0,2055.0,1409.0,2380.0,1738.0,1397.0,2025.0,1443.0,1613.0,1177.0,1185.0,2073.0,1615.0,1616.0,1472.0,1868.0,1442.0,1639.0
R4,1247.0,479.0,1469.0,5750.0,1734.0,790.0,561.0,732.0,318.0,1054.0,1342.0,1490.0,2461.0,1182.0,853.0,643.0,1480.0,658.0,663.0,1430.0,1931.0,777.0,1263.0,1460.0,708.0,746.0,711.0,1004.0,1128.0,1436.0,884.0,797.0,1375.0,809.0,1432.0,311.0,840.0,1851.0,778.0,834.0,1031.0,1107.0,1184.0,1017.0
R5,3252.0,1676.0,2812.0,1734.0,12843.0,2642.0,2271.0,1857.0,1710.0,2066.0,2990.0,3308.0,3836.0,2379.0,1726.0,1676.0,2435.0,1973.0,1655.0,2693.0,2896.0,1784.0,2767.0,3145.0,2372.0,1459.0,2349.0,2373.0,2068.0,2729.0,2537.0,2173.0,3177.0,2382.0,2463.0,2223.0,1746.0,2980.0,1998.0,2555.0,2181.0,2839.0,2034.0,2823.0
R6,1723.0,457.0,1506.0,790.0,2642.0,6101.0,1048.0,894.0,760.0,904.0,1438.0,1664.0,2525.0,1611.0,958.0,738.0,1295.0,867.0,868.0,1021.0,2004.0,763.0,1170.0,1719.0,1403.0,282.0,633.0,1395.0,1095.0,1803.0,1129.0,843.0,1637.0,747.0,784.0,725.0,383.0,1478.0,720.0,857.0,802.0,791.0,632.0,1304.0
R7,1527.0,314.0,1495.0,561.0,2271.0,1048.0,6650.0,849.0,662.0,861.0,1489.0,2155.0,2365.0,1453.0,1092.0,1025.0,1483.0,805.0,593.0,1838.0,1525.0,1184.0,1351.0,1975.0,1548.0,409.0,1006.0,1259.0,874.0,1970.0,1583.0,1092.0,2110.0,832.0,993.0,721.0,676.0,1297.0,1050.0,1183.0,748.0,1416.0,1013.0,1499.0
R8,1421.0,136.0,1192.0,732.0,1857.0,894.0,849.0,5348.0,138.0,663.0,2389.0,1843.0,2251.0,1173.0,861.0,565.0,1344.0,539.0,514.0,1129.0,1526.0,544.0,1384.0,1457.0,1017.0,823.0,614.0,894.0,631.0,1820.0,926.0,799.0,1609.0,498.0,994.0,678.0,277.0,1251.0,488.0,1040.0,321.0,1190.0,527.0,986.0
R9,687.0,154.0,1562.0,318.0,1710.0,760.0,662.0,138.0,4623.0,757.0,874.0,1467.0,2179.0,838.0,524.0,556.0,1310.0,611.0,692.0,1037.0,1366.0,493.0,702.0,1638.0,1056.0,273.0,575.0,1057.0,619.0,1375.0,955.0,496.0,1265.0,640.0,790.0,502.0,595.0,1253.0,669.0,850.0,635.0,1195.0,380.0,769.0
R10,1696.0,744.0,1189.0,1054.0,2066.0,904.0,861.0,663.0,757.0,6681.0,1232.0,1730.0,2840.0,1683.0,919.0,776.0,1419.0,798.0,902.0,1606.0,1562.0,1029.0,1249.0,1872.0,1387.0,794.0,1127.0,1431.0,1192.0,1678.0,1097.0,1497.0,1892.0,1115.0,1119.0,324.0,476.0,1330.0,734.0,1482.0,1101.0,1596.0,1048.0,1477.0
