Unnamed: 0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11
R1,1100.0,203.0,211.0,222.0,219.0,197.0,184.0,228.0,204.0,215.0,194.0,223.0,191.0,193.0,219.0,209.0,188.0,188.0,193.0,229.0,199.0,203.0,222.0,205.0,202.0,194.0,232.0,203.0,198.0,179.0,215.0,198.0,204.0,189.0,206.0,206.0,204.0,184.0,207.0,203.0,205.0,230.0,193.0,209.0
R2,203.0,1106.0,202.0,214.0,205.0,197.0,197.0,202.0,233.0,211.0,219.0,210.0,192.0,188.0,223.0,216.0,188.0,204.0,211.0,224.0,200.0,203.0,210.0,203.0,209.0,173.0,226.0,205.0,202.0,198.0,200.0,209.0,218.0,192.0,188.0,225.0,192.0,223.0,221.0,198.0,222.0,214.0,188.0,190.0
R3,211.0,202.0,1129.0,214.0,196.0,220.0,192.0,208.0,211.0,196.0,201.0,202.0,207.0,210.0,230.0,233.0,215.0,216.0,226.0,219.0,197.0,217.0,219.0,221.0,183.0,209.0,206.0,222.0,237.0,210.0,197.0,216.0,219.0,218.0,200.0,219.0,190.0,195.0,213.0,212.0,189.0,233.0,206.0,195.0
R4,222.0,214.0,214.0,1129.0,220.0,196.0,190.0,234.0,207.0,226.0,218.0,212.0,207.0,230.0,227.0,203.0,190.0,197.0,232.0,224.0,198.0,205.0,217.0,223.0,184.0,197.0,219.0,180.0,212.0,218.0,238.0,219.0,206.0,188.0,217.0,219.0,195.0,200.0,194.0,222.0,207.0,206.0,214.0,191.0
R5,219.0,205.0,196.0,220.0,1098.0,180.0,189.0,230.0,198.0,198.0,194.0,213.0,205.0,206.0,199.0,207.0,213.0,194.0,207.0,200.0,202.0,216.0,217.0,194.0,183.0,202.0,228.0,197.0,215.0,171.0,217.0,199.0,186.0,203.0,198.0,211.0,192.0,204.0,220.0,213.0,207.0,226.0,196.0,214.0
R6,197.0,197.0,220.0,196.0,180.0,1079.0,208.0,198.0,190.0,208.0,202.0,180.0,190.0,180.0,220.0,175.0,202.0,186.0,233.0,184.0,204.0,204.0,202.0,209.0,215.0,187.0,209.0,215.0,207.0,199.0,211.0,191.0,202.0,199.0,220.0,182.0,192.0,201.0,203.0,214.0,200.0,222.0,198.0,200.0
R7,184.0,197.0,192.0,190.0,189.0,208.0,1086.0,198.0,201.0,223.0,189.0,198.0,217.0,191.0,223.0,197.0,197.0,201.0,165.0,210.0,217.0,206.0,226.0,215.0,194.0,192.0,205.0,186.0,227.0,219.0,227.0,197.0,210.0,200.0,214.0,205.0,186.0,191.0,189.0,191.0,188.0,220.0,194.0,219.0
R8,228.0,202.0,208.0,234.0,230.0,198.0,198.0,1117.0,187.0,231.0,200.0,204.0,221.0,200.0,209.0,214.0,216.0,191.0,208.0,222.0,215.0,212.0,229.0,202.0,171.0,199.0,195.0,198.0,210.0,199.0,220.0,206.0,201.0,227.0,210.0,187.0,217.0,206.0,203.0,206.0,185.0,220.0,215.0,202.0
R9,204.0,233.0,211.0,207.0,198.0,190.0,201.0,187.0,1091.0,199.0,185.0,192.0,240.0,179.0,199.0,216.0,191.0,207.0,219.0,211.0,180.0,197.0,195.0,204.0,182.0,205.0,223.0,224.0,217.0,192.0,212.0,223.0,203.0,201.0,198.0,194.0,219.0,209.0,192.0,192.0,187.0,199.0,204.0,207.0
R10,215.0,211.0,196.0,226.0,198.0,208.0,223.0,231.0,199.0,1178.0,228.0,225.0,237.0,207.0,223.0,229.0,216.0,221.0,206.0,217.0,244.0,215.0,240.0,232.0,226.0,212.0,233.0,219.0,216.0,209.0,222.0,215.0,209.0,230.0,212.0,221.0,233.0,221.0,207.0,216.0,215.0,216.0,224.0,221.0
R11,194.0,219.0,201.0,218.0,194.0,202.0,189.0,200.0,185.0,228.0,1053.0,181.0,179.0,208.0,214.0,175.0,191.0,194.0,203.0,208.0,195.0,198.0,206.0,186.0,189.0,193.0,201.0,205.0,176.0,181.0,198.0,185.0,183.0,213.0,191.0,188.0,190.0,180.0,181.0,203.0,205.0,214.0,191.0,189.0
Y1,223.0,210.0,202.0,212.0,213.0,180.0,198.0,204.0,192.0,225.0,181.0,1074.0,220.0,194.0,214.0,195.0,197.0,182.0,205.0,206.0,197.0,205.0,207.0,203.0,196.0,197.0,207.0,203.0,191.0,177.0,200.0,215.0,197.0,201.0,195.0,201.0,195.0,214.0,175.0,207.0,182.0,192.0,198.0,184.0
Y2,191.0,192.0,207.0,207.0,205.0,190.0,217.0,221.0,240.0,237.0,179.0,220.0,1105.0,199.0,197.0,199.0,209.0,194.0,208.0,226.0,199.0,203.0,211.0,214.0,190.0,192.0,192.0,223.0,235.0,213.0,215.0,200.0,208.0,187.0,207.0,199.0,193.0,214.0,217.0,197.0,197.0,201.0,193.0,202.0
Y3,193.0,188.0,210.0,230.0,206.0,180.0,191.0,200.0,179.0,207.0,208.0,194.0,199.0,1095.0,214.0,208.0,226.0,191.0,195.0,196.0,199.0,200.0,208.0,232.0,206.0,190.0,214.0,197.0,215.0,198.0,202.0,204.0,188.0,206.0,199.0,192.0,206.0,219.0,198.0,212.0,220.0,215.0,223.0,202.0
Y4,219.0,223.0,230.0,227.0,199.0,220.0,223.0,209.0,199.0,223.0,214.0,214.0,197.0,214.0,1132.0,207.0,231.0,202.0,209.0,227.0,214.0,191.0,222.0,193.0,193.0,199.0,234.0,197.0,233.0,190.0,200.0,220.0,198.0,189.0,199.0,207.0,223.0,221.0,200.0,200.0,201.0,215.0,209.0,221.0
Y5,209.0,216.0,233.0,203.0,207.0,175.0,197.0,214.0,216.0,229.0,175.0,195.0,199.0,208.0,207.0,1096.0,231.0,211.0,206.0,194.0,219.0,200.0,215.0,205.0,176.0,186.0,208.0,206.0,223.0,193.0,207.0,198.0,185.0,186.0,195.0,210.0,208.0,194.0,201.0,223.0,204.0,201.0,196.0,204.0
