Unnamed: 0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11
R1,0.0,247.0,229.0,229.0,254.0,231.0,235.0,229.0,209.0,255.0,233.0,224.0,230.0,247.0,230.0,244.0,229.0,241.0,234.0,250.0,256.0,240.0,196.0,239.0,241.0,255.0,237.0,244.0,234.0,235.0,268.0,231.0,219.0,241.0,239.0,222.0,219.0,218.0,232.0,260.0,201.0,252.0,235.0,249.0
R2,235.0,0.0,263.0,227.0,240.0,227.0,216.0,232.0,209.0,222.0,230.0,221.0,223.0,232.0,230.0,229.0,224.0,224.0,252.0,229.0,224.0,243.0,235.0,222.0,235.0,249.0,236.0,208.0,243.0,253.0,247.0,257.0,235.0,228.0,229.0,215.0,212.0,232.0,232.0,223.0,213.0,260.0,231.0,236.0
R3,222.0,219.0,0.0,202.0,237.0,254.0,245.0,245.0,214.0,239.0,244.0,205.0,204.0,236.0,226.0,233.0,230.0,239.0,237.0,261.0,215.0,237.0,235.0,233.0,224.0,247.0,239.0,221.0,228.0,222.0,238.0,247.0,220.0,218.0,247.0,238.0,231.0,216.0,234.0,225.0,247.0,253.0,224.0,241.0
R4,207.0,230.0,242.0,0.0,243.0,255.0,216.0,226.0,221.0,224.0,219.0,222.0,232.0,232.0,220.0,237.0,226.0,231.0,233.0,226.0,231.0,217.0,222.0,222.0,212.0,242.0,221.0,249.0,235.0,199.0,235.0,238.0,228.0,227.0,236.0,240.0,253.0,216.0,222.0,247.0,225.0,232.0,226.0,247.0
R5,262.0,229.0,241.0,237.0,0.0,255.0,226.0,249.0,219.0,221.0,235.0,224.0,231.0,236.0,220.0,240.0,228.0,252.0,247.0,243.0,221.0,223.0,230.0,240.0,228.0,246.0,231.0,213.0,231.0,221.0,231.0,236.0,231.0,221.0,247.0,225.0,250.0,210.0,234.0,229.0,213.0,247.0,230.0,252.0
R6,253.0,241.0,235.0,243.0,254.0,0.0,222.0,231.0,206.0,245.0,253.0,230.0,244.0,236.0,230.0,232.0,259.0,218.0,219.0,239.0,229.0,216.0,222.0,240.0,228.0,253.0,236.0,223.0,249.0,235.0,238.0,229.0,221.0,228.0,244.0,227.0,220.0,222.0,227.0,274.0,217.0,234.0,237.0,268.0
R7,239.0,234.0,236.0,220.0,245.0,267.0,0.0,239.0,202.0,225.0,226.0,229.0,225.0,233.0,236.0,251.0,223.0,238.0,248.0,227.0,231.0,225.0,250.0,241.0,234.0,229.0,226.0,237.0,226.0,258.0,213.0,254.0,225.0,222.0,242.0,229.0,230.0,206.0,241.0,240.0,217.0,224.0,234.0,231.0
R8,232.0,219.0,244.0,218.0,241.0,234.0,225.0,0.0,211.0,241.0,244.0,215.0,219.0,222.0,228.0,236.0,231.0,233.0,211.0,234.0,220.0,247.0,224.0,237.0,238.0,227.0,203.0,230.0,238.0,251.0,236.0,227.0,248.0,235.0,234.0,231.0,236.0,233.0,251.0,245.0,228.0,257.0,214.0,244.0
R9,241.0,237.0,205.0,228.0,222.0,238.0,238.0,221.0,0.0,223.0,223.0,217.0,216.0,241.0,255.0,234.0,239.0,235.0,244.0,236.0,219.0,223.0,225.0,216.0,221.0,244.0,225.0,227.0,228.0,214.0,223.0,206.0,202.0,220.0,227.0,212.0,214.0,219.0,240.0,233.0,230.0,227.0,213.0,255.0
R10,232.0,199.0,228.0,221.0,238.0,241.0,217.0,225.0,219.0,0.0,234.0,223.0,232.0,236.0,245.0,225.0,238.0,226.0,228.0,234.0,242.0,222.0,243.0,231.0,245.0,243.0,227.0,226.0,235.0,223.0,221.0,226.0,232.0,219.0,209.0,213.0,214.0,231.0,260.0,237.0,226.0,232.0,209.0,230.0
R11,229.0,219.0,233.0,210.0,235.0,253.0,221.0,232.0,209.0,241.0,0.0,233.0,247.0,247.0,213.0,235.0,247.0,242.0,256.0,241.0,230.0,233.0,236.0,252.0,230.0,233.0,230.0,213.0,236.0,233.0,220.0,266.0,210.0,213.0,241.0,238.0,217.0,228.0,229.0,217.0,222.0,221.0,217.0,237.0
Y1,232.0,221.0,202.0,209.0,253.0,241.0,252.0,225.0,214.0,233.0,245.0,0.0,204.0,232.0,253.0,245.0,234.0,215.0,248.0,244.0,227.0,237.0,242.0,235.0,240.0,230.0,226.0,203.0,247.0,239.0,230.0,223.0,242.0,223.0,231.0,228.0,229.0,227.0,231.0,208.0,225.0,241.0,228.0,233.0
Y2,216.0,229.0,239.0,228.0,252.0,240.0,242.0,251.0,229.0,245.0,230.0,203.0,0.0,251.0,259.0,245.0,225.0,216.0,238.0,210.0,221.0,225.0,219.0,228.0,224.0,260.0,221.0,215.0,233.0,246.0,233.0,252.0,201.0,235.0,232.0,219.0,216.0,244.0,224.0,236.0,224.0,217.0,241.0,240.0
Y3,254.0,203.0,206.0,236.0,238.0,230.0,208.0,242.0,235.0,233.0,245.0,217.0,232.0,0.0,220.0,241.0,256.0,222.0,218.0,235.0,231.0,216.0,226.0,219.0,223.0,239.0,211.0,215.0,229.0,209.0,231.0,236.0,222.0,231.0,201.0,241.0,228.0,213.0,229.0,251.0,195.0,222.0,217.0,241.0
Y4,240.0,243.0,227.0,237.0,266.0,226.0,213.0,245.0,259.0,238.0,219.0,235.0,240.0,255.0,0.0,240.0,213.0,240.0,257.0,238.0,220.0,255.0,248.0,252.0,243.0,234.0,227.0,246.0,235.0,229.0,258.0,256.0,212.0,234.0,244.0,234.0,243.0,212.0,264.0,216.0,219.0,251.0,219.0,251.0
Y5,258.0,227.0,224.0,241.0,217.0,208.0,221.0,235.0,199.0,229.0,227.0,241.0,229.0,242.0,229.0,0.0,221.0,229.0,225.0,232.0,224.0,231.0,239.0,241.0,222.0,246.0,228.0,223.0,230.0,219.0,220.0,240.0,238.0,219.0,256.0,204.0,239.0,210.0,213.0,249.0,207.0,244.0,223.0,238.0
Y6,216.0,202.0,215.0,224.0,226.0,225.0,225.0,237.0,239.0,233.0,214.0,220.0,225.0,237.0,233.0,249.0,0.0,225.0,246.0,232.0,251.0,235.0,239.0,227.0,232.0,244.0,229.0,199.0,231.0,206.0,233.0,243.0,230.0,213.0,240.0,227.0,235.0,229.0,219.0,220.0,202.0,220.0,211.0,218.0
Y7,221.0,239.0,225.0,205.0,220.0,248.0,241.0,242.0,228.0,228.0,229.0,217.0,234.0,241.0,237.0,223.0,207.0,0.0,246.0,231.0,242.0,227.0,231.0,235.0,262.0,236.0,226.0,223.0,239.0,241.0,245.0,239.0,239.0,196.0,248.0,210.0,219.0,229.0,243.0,234.0,227.0,232.0,220.0,267.0
Y8,232.0,230.0,218.0,226.0,239.0,235.0,228.0,245.0,216.0,213.0,223.0,228.0,234.0,225.0,207.0,215.0,228.0,243.0,0.0,238.0,195.0,221.0,228.0,230.0,226.0,223.0,205.0,228.0,243.0,206.0,212.0,225.0,218.0,236.0,237.0,205.0,231.0,213.0,246.0,217.0,201.0,222.0,209.0,239.0
Y9,218.0,217.0,219.0,211.0,234.0,214.0,204.0,245.0,230.0,222.0,213.0,203.0,239.0,221.0,222.0,230.0,220.0,253.0,200.0,0.0,220.0,202.0,222.0,253.0,225.0,228.0,214.0,218.0,229.0,210.0,236.0,228.0,218.0,215.0,209.0,218.0,202.0,206.0,228.0,221.0,208.0,235.0,215.0,247.0
Y10,221.0,239.0,248.0,211.0,237.0,219.0,219.0,229.0,210.0,225.0,226.0,213.0,218.0,258.0,244.0,245.0,222.0,216.0,249.0,235.0,0.0,232.0,232.0,252.0,231.0,234.0,242.0,245.0,248.0,221.0,247.0,240.0,212.0,214.0,240.0,242.0,219.0,226.0,246.0,211.0,197.0,248.0,222.0,251.0
Y11,250.0,219.0,219.0,233.0,234.0,255.0,253.0,229.0,224.0,234.0,235.0,236.0,230.0,260.0,206.0,229.0,222.0,239.0,254.0,240.0,231.0,0.0,239.0,250.0,257.0,237.0,225.0,237.0,252.0,236.0,248.0,243.0,231.0,232.0,228.0,246.0,218.0,233.0,233.0,236.0,217.0,252.0,252.0,254.0
G1,251.0,204.0,236.0,221.0,263.0,236.0,244.0,241.0,228.0,257.0,236.0,203.0,233.0,245.0,214.0,243.0,248.0,240.0,230.0,257.0,224.0,234.0,0.0,219.0,220.0,250.0,212.0,230.0,249.0,219.0,230.0,244.0,199.0,229.0,240.0,229.0,198.0,242.0,215.0,226.0,236.0,242.0,231.0,251.0
G2,247.0,206.0,223.0,235.0,242.0,254.0,222.0,230.0,205.0,228.0,218.0,218.0,216.0,249.0,220.0,227.0,218.0,209.0,250.0,251.0,257.0,239.0,229.0,0.0,235.0,243.0,234.0,237.0,214.0,232.0,214.0,257.0,216.0,235.0,258.0,227.0,230.0,222.0,236.0,258.0,217.0,209.0,226.0,243.0
G3,235.0,242.0,222.0,234.0,246.0,218.0,228.0,233.0,205.0,229.0,237.0,221.0,236.0,228.0,242.0,263.0,253.0,230.0,224.0,240.0,222.0,227.0,242.0,232.0,0.0,239.0,221.0,217.0,233.0,233.0,237.0,233.0,209.0,227.0,230.0,215.0,215.0,218.0,222.0,223.0,228.0,230.0,215.0,257.0
G4,249.0,223.0,230.0,239.0,254.0,217.0,227.0,247.0,249.0,236.0,248.0,230.0,244.0,246.0,239.0,268.0,234.0,223.0,239.0,255.0,259.0,230.0,246.0,234.0,225.0,0.0,255.0,209.0,258.0,258.0,234.0,246.0,227.0,232.0,250.0,215.0,223.0,212.0,245.0,248.0,226.0,225.0,224.0,246.0
G5,229.0,231.0,248.0,207.0,243.0,240.0,247.0,247.0,225.0,229.0,222.0,226.0,224.0,240.0,237.0,234.0,216.0,251.0,244.0,226.0,214.0,231.0,251.0,241.0,241.0,245.0,0.0,223.0,236.0,218.0,232.0,232.0,239.0,211.0,259.0,240.0,244.0,229.0,241.0,226.0,217.0,238.0,227.0,234.0
G6,226.0,225.0,231.0,238.0,245.0,221.0,234.0,226.0,222.0,237.0,215.0,206.0,218.0,240.0,248.0,239.0,233.0,249.0,246.0,238.0,203.0,239.0,220.0,233.0,231.0,255.0,229.0,0.0,244.0,226.0,240.0,242.0,221.0,235.0,243.0,235.0,205.0,212.0,250.0,246.0,214.0,228.0,230.0,236.0
G7,217.0,223.0,226.0,228.0,212.0,239.0,242.0,233.0,206.0,224.0,231.0,206.0,230.0,259.0,225.0,232.0,226.0,250.0,232.0,224.0,219.0,230.0,225.0,207.0,219.0,224.0,234.0,210.0,0.0,232.0,222.0,232.0,211.0,249.0,259.0,220.0,224.0,230.0,264.0,250.0,229.0,226.0,222.0,252.0
G8,232.0,232.0,247.0,217.0,245.0,251.0,230.0,204.0,200.0,214.0,242.0,223.0,230.0,246.0,257.0,251.0,197.0,236.0,246.0,238.0,241.0,231.0,227.0,239.0,236.0,247.0,230.0,226.0,244.0,0.0,248.0,267.0,227.0,221.0,214.0,240.0,214.0,224.0,239.0,231.0,223.0,232.0,242.0,236.0
G9,243.0,247.0,238.0,229.0,238.0,242.0,239.0,249.0,213.0,218.0,218.0,211.0,233.0,251.0,223.0,231.0,225.0,209.0,245.0,224.0,218.0,230.0,242.0,219.0,206.0,226.0,226.0,206.0,222.0,223.0,0.0,222.0,204.0,236.0,260.0,238.0,219.0,206.0,248.0,248.0,229.0,242.0,226.0,224.0
G10,237.0,203.0,244.0,259.0,249.0,228.0,233.0,228.0,201.0,255.0,233.0,244.0,222.0,268.0,246.0,252.0,228.0,252.0,264.0,224.0,241.0,244.0,243.0,232.0,232.0,266.0,218.0,221.0,261.0,244.0,250.0,0.0,238.0,228.0,242.0,242.0,231.0,233.0,253.0,271.0,209.0,239.0,223.0,265.0
G11,211.0,205.0,220.0,217.0,243.0,249.0,239.0,235.0,216.0,201.0,230.0,234.0,220.0,251.0,214.0,262.0,249.0,242.0,247.0,222.0,234.0,231.0,219.0,239.0,247.0,245.0,252.0,227.0,242.0,243.0,251.0,247.0,0.0,250.0,232.0,226.0,243.0,228.0,252.0,237.0,214.0,237.0,237.0,231.0
B1,272.0,245.0,236.0,225.0,234.0,219.0,247.0,242.0,224.0,227.0,230.0,238.0,237.0,240.0,236.0,243.0,231.0,232.0,259.0,234.0,231.0,249.0,258.0,238.0,218.0,243.0,243.0,228.0,246.0,225.0,259.0,253.0,228.0,0.0,248.0,220.0,218.0,215.0,245.0,257.0,206.0,238.0,221.0,250.0
B2,210.0,192.0,207.0,209.0,226.0,215.0,211.0,214.0,223.0,214.0,252.0,215.0,229.0,224.0,227.0,241.0,237.0,228.0,223.0,212.0,227.0,204.0,232.0,220.0,225.0,218.0,226.0,227.0,218.0,223.0,207.0,247.0,212.0,230.0,0.0,230.0,214.0,200.0,229.0,237.0,210.0,225.0,203.0,231.0
B3,238.0,228.0,229.0,212.0,229.0,245.0,236.0,229.0,223.0,251.0,235.0,237.0,240.0,224.0,244.0,211.0,233.0,240.0,226.0,266.0,215.0,242.0,242.0,220.0,262.0,258.0,206.0,243.0,229.0,233.0,274.0,251.0,206.0,230.0,234.0,0.0,224.0,209.0,222.0,254.0,224.0,254.0,232.0,258.0
B4,235.0,221.0,232.0,259.0,263.0,235.0,247.0,222.0,238.0,229.0,239.0,254.0,244.0,220.0,241.0,235.0,239.0,245.0,256.0,257.0,268.0,248.0,223.0,242.0,249.0,251.0,234.0,207.0,250.0,249.0,235.0,256.0,237.0,218.0,257.0,255.0,0.0,244.0,246.0,248.0,223.0,232.0,234.0,269.0
B5,206.0,207.0,228.0,221.0,238.0,241.0,212.0,246.0,221.0,240.0,223.0,219.0,243.0,239.0,245.0,242.0,231.0,237.0,242.0,221.0,219.0,198.0,254.0,240.0,238.0,216.0,227.0,239.0,248.0,229.0,233.0,250.0,223.0,223.0,235.0,218.0,205.0,0.0,227.0,244.0,222.0,211.0,210.0,226.0
B6,236.0,240.0,235.0,227.0,246.0,201.0,229.0,250.0,239.0,238.0,251.0,228.0,232.0,252.0,252.0,236.0,249.0,232.0,266.0,226.0,214.0,221.0,244.0,221.0,241.0,249.0,227.0,239.0,260.0,224.0,255.0,241.0,209.0,234.0,222.0,235.0,223.0,227.0,0.0,233.0,218.0,221.0,235.0,249.0
B7,236.0,202.0,206.0,210.0,227.0,226.0,212.0,215.0,189.0,213.0,211.0,214.0,196.0,209.0,218.0,235.0,202.0,226.0,237.0,211.0,188.0,204.0,218.0,222.0,210.0,228.0,218.0,199.0,243.0,197.0,232.0,232.0,221.0,217.0,222.0,205.0,210.0,201.0,214.0,0.0,192.0,228.0,219.0,219.0
B8,233.0,241.0,232.0,229.0,226.0,215.0,245.0,245.0,215.0,225.0,247.0,236.0,224.0,210.0,220.0,232.0,211.0,229.0,255.0,224.0,226.0,220.0,227.0,212.0,216.0,220.0,214.0,226.0,242.0,216.0,228.0,255.0,185.0,213.0,215.0,214.0,244.0,215.0,240.0,218.0,0.0,222.0,240.0,245.0
B9,244.0,232.0,234.0,211.0,224.0,220.0,228.0,216.0,200.0,245.0,234.0,207.0,233.0,233.0,226.0,228.0,258.0,205.0,221.0,266.0,215.0,215.0,259.0,221.0,218.0,228.0,234.0,211.0,254.0,198.0,239.0,224.0,229.0,223.0,241.0,203.0,215.0,202.0,246.0,229.0,196.0,0.0,202.0,235.0
B10,232.0,258.0,254.0,245.0,226.0,244.0,254.0,225.0,233.0,218.0,206.0,220.0,260.0,246.0,252.0,242.0,249.0,234.0,223.0,254.0,229.0,237.0,219.0,243.0,226.0,257.0,227.0,220.0,232.0,242.0,229.0,231.0,232.0,215.0,240.0,221.0,210.0,224.0,240.0,238.0,218.0,234.0,0.0,250.0
B11,224.0,234.0,235.0,252.0,234.0,237.0,245.0,231.0,219.0,239.0,231.0,221.0,232.0,229.0,230.0,237.0,229.0,250.0,249.0,254.0,230.0,235.0,232.0,239.0,247.0,254.0,215.0,224.0,236.0,249.0,240.0,255.0,215.0,217.0,244.0,237.0,228.0,238.0,209.0,228.0,221.0,226.0,240.0,0.0
