Unnamed: 0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11
R1,0.0,952.0,2069.0,1069.0,2242.0,1196.0,1137.0,1161.0,1019.0,1035.0,2018.0,2064.0,3599.0,1580.0,1353.0,865.0,2211.0,1204.0,1094.0,1687.0,2230.0,1470.0,1887.0,1983.0,1543.0,918.0,1267.0,1528.0,1316.0,1914.0,1697.0,1374.0,2292.0,1208.0,1279.0,1340.0,1201.0,1700.0,1268.0,1363.0,1434.0,2017.0,1156.0,1696.0
R2,2082.0,0.0,2353.0,1717.0,3476.0,2009.0,2000.0,1706.0,1343.0,2153.0,2702.0,2625.0,3680.0,2506.0,2140.0,2077.0,2284.0,1855.0,2088.0,2298.0,2677.0,1661.0,2499.0,2694.0,2383.0,1734.0,2113.0,2224.0,1636.0,2664.0,2319.0,2025.0,2574.0,2082.0,2379.0,1718.0,1477.0,2718.0,1753.0,1951.0,1331.0,2547.0,2219.0,2028.0
R3,2033.0,865.0,0.0,628.0,2734.0,1052.0,981.0,696.0,800.0,1067.0,2006.0,2295.0,3165.0,1540.0,926.0,1047.0,1768.0,767.0,1146.0,2016.0,2243.0,1251.0,1853.0,2360.0,1809.0,997.0,933.0,1301.0,1142.0,2529.0,1440.0,1255.0,2546.0,1004.0,1416.0,997.0,470.0,1862.0,853.0,1090.0,1121.0,1618.0,1027.0,1946.0
R4,2049.0,1157.0,2532.0,0.0,3338.0,1484.0,1889.0,1444.0,1435.0,1618.0,2471.0,2898.0,3700.0,2139.0,1462.0,1227.0,2696.0,1337.0,1747.0,2571.0,2513.0,1389.0,2230.0,2754.0,2057.0,1331.0,2029.0,2043.0,1636.0,2999.0,2170.0,1791.0,2607.0,1659.0,1618.0,1291.0,1253.0,2019.0,1698.0,1663.0,1252.0,2216.0,1347.0,1724.0
R5,441.0,-400.0,779.0,176.0,0.0,282.0,265.0,-1.0,-154.0,415.0,883.0,811.0,2011.0,800.0,423.0,243.0,817.0,178.0,280.0,1290.0,1015.0,464.0,906.0,1308.0,768.0,135.0,-82.0,1092.0,391.0,865.0,977.0,556.0,752.0,365.0,658.0,-224.0,460.0,789.0,444.0,622.0,328.0,1018.0,85.0,835.0
R6,2846.0,1440.0,2126.0,1942.0,3148.0,0.0,1752.0,1848.0,1456.0,1974.0,2522.0,3190.0,4230.0,2431.0,1546.0,1370.0,2174.0,1661.0,1557.0,2944.0,2938.0,1932.0,2398.0,2921.0,1975.0,1609.0,1908.0,2187.0,1747.0,2709.0,2359.0,1995.0,2789.0,1829.0,2176.0,1772.0,1778.0,2803.0,1710.0,1872.0,1747.0,2602.0,1869.0,2151.0
R7,2579.0,1425.0,2350.0,1541.0,2947.0,1582.0,0.0,1568.0,1687.0,1817.0,2539.0,2537.0,3676.0,1715.0,1812.0,1378.0,2660.0,1657.0,1605.0,2392.0,2736.0,1638.0,2292.0,2482.0,1995.0,1506.0,1785.0,2187.0,1654.0,2742.0,1948.0,1826.0,2323.0,1652.0,1559.0,1340.0,1322.0,2156.0,1535.0,1816.0,1904.0,2207.0,1414.0,2077.0
R8,2404.0,1298.0,2289.0,1754.0,2956.0,1204.0,1886.0,0.0,1513.0,1764.0,2343.0,2484.0,3359.0,1989.0,1615.0,1208.0,1986.0,1828.0,1413.0,2758.0,2587.0,1788.0,2262.0,2945.0,2194.0,1862.0,1897.0,2162.0,2401.0,2247.0,2020.0,1951.0,2644.0,1650.0,1856.0,1595.0,1626.0,2266.0,2091.0,1538.0,1927.0,2089.0,1865.0,2317.0
R9,1860.0,1107.0,2043.0,1892.0,3110.0,1682.0,1510.0,1605.0,0.0,1901.0,2364.0,2797.0,3811.0,2372.0,1860.0,1802.0,2239.0,1669.0,1294.0,2888.0,3115.0,1654.0,2351.0,2563.0,2321.0,1592.0,1876.0,2473.0,1773.0,2535.0,1986.0,1565.0,2514.0,1851.0,2065.0,1503.0,1382.0,2493.0,1403.0,1663.0,1951.0,2478.0,2137.0,1924.0
R10,2096.0,656.0,2459.0,1253.0,2875.0,1406.0,1564.0,1401.0,1271.0,0.0,1955.0,3246.0,3665.0,2061.0,1516.0,1260.0,2057.0,978.0,1330.0,2715.0,2661.0,1911.0,2064.0,2913.0,2040.0,1207.0,1590.0,2247.0,1322.0,2702.0,1991.0,1348.0,2712.0,1644.0,1832.0,1540.0,1275.0,2066.0,1009.0,1622.0,1490.0,2308.0,1259.0,2213.0
R11,1020.0,530.0,1227.0,619.0,1684.0,645.0,896.0,576.0,590.0,765.0,0.0,1682.0,2396.0,1205.0,798.0,452.0,1537.0,798.0,586.0,1711.0,1692.0,322.0,1275.0,1701.0,1331.0,739.0,956.0,1591.0,680.0,1834.0,1149.0,1000.0,1459.0,1124.0,1141.0,548.0,597.0,1401.0,763.0,835.0,847.0,1410.0,677.0,697.0
Y1,1314.0,174.0,1223.0,322.0,2404.0,770.0,1128.0,574.0,282.0,461.0,1648.0,0.0,2669.0,1097.0,313.0,1035.0,1951.0,724.0,-137.0,1446.0,1621.0,251.0,1158.0,1871.0,1116.0,643.0,750.0,1314.0,252.0,1605.0,941.0,875.0,904.0,644.0,379.0,420.0,896.0,1211.0,385.0,216.0,939.0,1126.0,220.0,1131.0
Y2,310.0,-287.0,499.0,-10.0,1084.0,23.0,239.0,-89.0,-207.0,-118.0,508.0,959.0,0.0,206.0,367.0,-267.0,306.0,-381.0,-160.0,540.0,874.0,-34.0,610.0,496.0,592.0,79.0,98.0,-22.0,435.0,997.0,46.0,321.0,1095.0,-224.0,169.0,70.0,116.0,426.0,-322.0,503.0,245.0,423.0,35.0,304.0
Y3,1635.0,466.0,1445.0,914.0,2335.0,825.0,1354.0,889.0,706.0,1100.0,1178.0,1854.0,2802.0,0.0,967.0,783.0,1615.0,778.0,689.0,1789.0,1631.0,1097.0,1607.0,1959.0,1740.0,844.0,926.0,1631.0,1369.0,1793.0,1479.0,1095.0,1609.0,1280.0,1240.0,905.0,626.0,1636.0,902.0,944.0,1192.0,1616.0,835.0,1486.0
Y4,2443.0,538.0,1902.0,1595.0,2762.0,1378.0,1678.0,1034.0,1146.0,1957.0,1952.0,2916.0,3273.0,2133.0,0.0,1422.0,2019.0,1441.0,1516.0,2229.0,2753.0,1681.0,1961.0,2179.0,1789.0,1112.0,1486.0,1799.0,1637.0,2357.0,1912.0,1725.0,2538.0,1128.0,1747.0,1374.0,1110.0,2101.0,1368.0,1464.0,1365.0,2023.0,1818.0,1990.0
Y5,2668.0,959.0,2139.0,1567.0,3196.0,1583.0,1892.0,1199.0,1001.0,1641.0,2449.0,2624.0,3609.0,2181.0,1851.0,0.0,2149.0,1709.0,1622.0,2503.0,2636.0,1643.0,2449.0,2532.0,1817.0,1598.0,1486.0,2345.0,1843.0,2239.0,1821.0,1649.0,2305.0,1898.0,1832.0,1468.0,1501.0,2756.0,1312.0,1682.0,1677.0,2258.0,1940.0,2073.0
Y6,1643.0,493.0,1761.0,976.0,2415.0,1289.0,1229.0,1162.0,798.0,1119.0,1871.0,2264.0,3669.0,1711.0,1263.0,957.0,0.0,850.0,850.0,1899.0,1936.0,1369.0,1647.0,1868.0,1568.0,1018.0,1395.0,1552.0,1298.0,2046.0,1448.0,1505.0,1786.0,939.0,1575.0,1078.0,928.0,1914.0,776.0,1316.0,1312.0,1801.0,1287.0,1347.0
Y7,2467.0,1389.0,2207.0,1327.0,2649.0,1440.0,1496.0,1514.0,1565.0,1705.0,2048.0,2488.0,3556.0,2025.0,1743.0,1093.0,2444.0,0.0,1313.0,2457.0,2513.0,1675.0,2145.0,2256.0,2021.0,1197.0,2012.0,1927.0,2044.0,2853.0,1899.0,1484.0,2206.0,1654.0,1656.0,1653.0,1224.0,2454.0,1575.0,1753.0,1547.0,2275.0,1851.0,2279.0
Y8,2714.0,1734.0,2228.0,1758.0,3422.0,1989.0,2296.0,1723.0,1619.0,2170.0,3323.0,3739.0,4302.0,2478.0,1707.0,1897.0,2966.0,1652.0,0.0,2838.0,2935.0,2177.0,2686.0,3038.0,2599.0,2488.0,2512.0,2337.0,2220.0,2989.0,2645.0,2223.0,3173.0,2350.0,2067.0,1858.0,2054.0,2568.0,1867.0,1903.0,1872.0,2309.0,2204.0,2546.0
Y9,1857.0,604.0,1577.0,894.0,2278.0,934.0,905.0,779.0,814.0,1021.0,1709.0,1986.0,2662.0,1482.0,1142.0,710.0,1949.0,993.0,1091.0,0.0,1809.0,1073.0,1503.0,2068.0,1189.0,926.0,1121.0,1415.0,1046.0,1901.0,1666.0,1278.0,1776.0,843.0,765.0,718.0,792.0,1724.0,488.0,1152.0,896.0,1601.0,907.0,1225.0
Y10,1799.0,629.0,1801.0,492.0,2215.0,828.0,836.0,750.0,501.0,568.0,1362.0,1621.0,2508.0,1562.0,860.0,446.0,1444.0,596.0,316.0,1343.0,0.0,1091.0,907.0,1988.0,1208.0,727.0,744.0,1319.0,1258.0,1533.0,946.0,822.0,1811.0,794.0,962.0,705.0,814.0,1464.0,431.0,1037.0,955.0,1136.0,602.0,1060.0
Y11,2128.0,1170.0,1826.0,1460.0,2674.0,1289.0,1076.0,917.0,1043.0,1100.0,1988.0,2656.0,3021.0,1814.0,1213.0,1044.0,2282.0,1154.0,1112.0,1792.0,1849.0,0.0,1579.0,2231.0,1755.0,1015.0,1355.0,2047.0,1636.0,1931.0,1868.0,1159.0,2233.0,1268.0,1430.0,1092.0,983.0,1606.0,794.0,1231.0,926.0,2140.0,1316.0,1747.0
G1,2058.0,803.0,1912.0,1044.0,2878.0,1065.0,1254.0,818.0,1006.0,1433.0,1998.0,2836.0,2626.0,2240.0,1128.0,1218.0,1945.0,1331.0,957.0,2168.0,1742.0,1296.0,0.0,2000.0,1608.0,971.0,1467.0,1891.0,1408.0,1916.0,1504.0,1397.0,1804.0,896.0,1737.0,1118.0,844.0,1984.0,925.0,1363.0,1288.0,2081.0,1458.0,1625.0
G2,1232.0,412.0,1224.0,275.0,1508.0,599.0,548.0,432.0,-58.0,776.0,1101.0,1409.0,2340.0,713.0,268.0,946.0,1126.0,204.0,307.0,1195.0,1325.0,394.0,1071.0,0.0,801.0,332.0,792.0,998.0,619.0,1186.0,610.0,346.0,1473.0,553.0,516.0,131.0,421.0,1324.0,107.0,852.0,781.0,655.0,489.0,913.0
