Unnamed: 0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
R1,6329,6499,6185,6721,6507,6064,6409,6404,6249,6018
R2,1296,1366,1134,1482,1738,1224,1162,1156,1208,1070
R3,1132,1029,1104,1103,1139,1103,1111,1028,990,1051
R4,8555,5800,5565,5305,5955,5380,5325,5485,5635,4925
R5,10839,11331,10897,11242,11672,10951,10710,11225,10999,10846
R6,4584,4812,5349,5670,6150,4638,5289,4941,5517,4935
R7,4449,3204,3216,2493,3480,3075,3291,2904,3258,2931
R8,-2720,-2960,-3092,-2980,-2980,-2760,-2868,-2508,-2996,-2420
R9,5712,4140,4136,3936,4080,4116,3984,3848,3964,3960
R10,0,0,0,0,0,0,0,0,0,0
R11,10374,10038,9768,10176,11100,9918,11562,11178,14238,9576
Y1,3225,3015,2973,2550,2631,2934,2721,2733,3045,2985
Y2,12780,13620,13413,14286,13122,13338,12063,13239,13242,13680
Y3,8918,8791,9108,8897,9322,9273,8881,8727,9073,9244
Y4,12823,7401,7198,7375,7123,7093,7940,7278,7204,7974
Y5,0,0,0,0,0,0,0,0,0,0
Y6,6317,6770,6802,7179,6685,7139,6675,6996,6661,7259
Y7,3896,4242,4422,4800,4352,4364,4488,4466,4208,4642
Y8,5105,5130,4895,5130,5075,5475,4880,4645,5280,5150
Y9,9260,8842,8763,8326,8774,8911,8411,8464,8189,8745
Y10,8217,8952,8554,9357,8423,8683,8113,8533,8333,9033
Y11,9055,9170,9157,10058,8846,9521,9676,9419,9358,9623
G1,10108,9608,10230,9537,9788,10015,10016,9850,9883,9501
G2,10000,9387,10972,10826,11101,10907,10782,10865,10950,10603
G3,10750,7684,8328,7977,8071,8625,8187,8417,7772,7652
G4,3888,4196,3792,3668,4044,4012,3852,4696,3708,3924
G5,1828,1874,1782,1926,1470,1844,1598,2204,1438,1482
G6,1076,1036,1079,1074,899,930,1020,1141,1007,986
G7,9210,5775,5795,5715,6000,5320,5910,6200,5550,5585
G8,10002,9598,9472,10326,9858,10178,10382,10064,10094,9818
G9,8393,7763,7896,8044,8310,8165,8237,8044,8187,7466
G10,6104,5475,5717,5338,5718,5520,5422,5830,5609,5310
G11,20412,12420,12915,13419,12483,12609,12825,12879,12465,12654
B1,3404,3653,3745,3879,3398,3637,3663,3590,3646,3920
B2,7644,7698,7956,7344,7980,8304,7824,8010,7980,7848
B3,3454,3830,3598,3863,3136,3429,3660,3465,3306,3863
B4,3486,3087,3051,2634,2823,3321,3261,2976,3033,3528
B5,7858,8147,7933,8232,7414,7753,8031,7378,7405,8109
B6,4483,3689,3540,3270,3457,3814,3725,3504,3529,3919
B7,11526,6901,7376,7880,7443,7213,6981,6832,7194,7692
B8,5143,5085,5457,5130,4895,5643,5567,5166,5224,5164
B9,7140,7374,7402,7238,7048,7316,7242,6968,6482,7134
B10,3960,3984,3972,3672,3760,3968,4296,4016,3836,4424
B11,6583,6430,6573,6935,6924,6794,6815,6690,6213,6759
